Chalinolobus dwyeri
Falsistrellus tasmaniensis
Glauconycteris alboguttata
Glauconycteris argentata
Glauconycteris beatrix
Glauconycteris curryae
Glauconycteris egeria
Glauconycteris gleni
Glauconycteris humeralis
Glauconycteris kenyacola
Glauconycteris machadoi
Glauconycteris poensis
Glauconycteris superba
Glauconycteris variegata
Glischropus bucephalus
Glischropus javanus
Glischropus tylopus
Hesperoptenus blanfordi
Hesperoptenus doriae
Hesperoptenus gaskelli
Hesperoptenus tickelli
Hesperoptenus tomesi
Histiotus alienus
Histiotus humboldti
Histiotus laephotis
Histiotus macrotus
Histiotus magellanicus
Histiotus mochica
Histiotus montanus
Histiotus velatus
Hypsugo affinis
Hypsugo alaschanicus
Hypsugo arabicus
Hypsugo ariel
Hypsugo bemainty
Hypsugo cadornae
Hypsugo dolichodon
Hypsugo imbricatus
Hypsugo kitcheneri
Hypsugo lanzai
Hypsugo lophurus
Hypsugo macrotis
Hypsugo mordax
Hypsugo musciculus
Hypsugo petersi
Hypsugo pulveratus
Hypsugo savii
Hypsugo vordermanni
Ia io
Idionycteris phyllotis
Laephotis angolensis
Laephotis botswanae
Laephotis capensis
Laephotis malagasyensis
Laephotis matroka
Laephotis namibensis
Laephotis stanleyi
Laephotis wintoni
Lasionycteris noctivagans
Lasiurus atratus
Lasiurus blossevillii
Lasiurus borealis
Lasiurus castaneus
Lasiurus cinereus
Lasiurus degelidus
Lasiurus ebenus
Lasiurus ega
Lasiurus egregius
Lasiurus frantzii
Lasiurus insularis
Lasiurus intermedius
Lasiurus minor
Lasiurus pfeifferi
Lasiurus salinae
Lasiurus seminolus
Lasiurus semotus
Lasiurus varius
Lasiurus villosissimus
Lasiurus xanthinus
Mimetillus moloneyi
Mirostrellus joffrei
Neoromicia anchietae
Neoromicia capensis
Neoromicia flavescens
Neoromicia guineensis
Neoromicia melckorum
Neoromicia rendalli
Neoromicia somalica
Neoromicia zuluensis
Nyctalus aviator
Nyctalus azoreum
Nyctalus furvus
Nyctalus lasiopterus
Nyctalus leisleri
Nyctalus montanus
Nyctalus noctula
Nyctalus plancyi
Nycticeinops crassulus
Nycticeinops eisentrauti
Nycticeinops schlieffeni
Nycticeius aenobarbus
Nycticeius cubanus
Nycticeius humeralis
Nyctophilus arnhemensis
Nyctophilus bifax
Nyctophilus corbeni
Nyctophilus daedalus
Nyctophilus geoffroyi
Nyctophilus gouldi
Nyctophilus heran
Nyctophilus holtorum
Nyctophilus howensis
Nyctophilus major
Nyctophilus microdon
Nyctophilus microtis
Nyctophilus nebulosus
Nyctophilus sherrini
Nyctophilus shirleyae
Nyctophilus walkeri
Otonycteris leucophaea
Parastrellus hesperus
Perimyotis subflavus
Pharotis imogene
Philetor brachypterus
Pipistrellus abramus
Pipistrellus adamsi
Pipistrellus aero
Pipistrellus angulatus
Pipistrellus ceylonicus
Pipistrellus collinus
Pipistrellus coromandra
Pipistrellus creticus
Pipistrellus dhofarensis
Pipistrellus endoi
Pipistrellus hanaki
Pipistrellus hesperidus
Pipistrellus inexspectatus
Pipistrellus javanicus
Pipistrellus kuhlii
Pipistrellus maderensis
Pipistrellus minahassae
Pipistrellus murrayi
Pipistrellus nanulus
Pipistrellus nathusii
Pipistrellus papuanus
Pipistrellus paterculus
Pipistrellus permixtus
Pipistrellus pygmaeus
Pipistrellus raceyi
Pipistrellus rusticus
Pipistrellus stenopterus
Pipistrellus sturdeei
Pipistrellus tenuis
Pipistrellus wattsi
Pipistrellus westralis
Plecotus austriacus
Plecotus balensis
Plecotus christii
Plecotus gaisleri
Plecotus homochrous
Plecotus kolombatovici
Plecotus macrobullaris
Plecotus ognevi
Plecotus sacrimontis
Plecotus sardus
Plecotus strelkovi
Plecotus taivanus
Plecotus teneriffae
Plecotus turkmenicus
Plecotus wardi
Pseudoromicia brunneus
Pseudoromicia rendalli
Pseudoromicia roseveari
Pseudoromicia tenuipinnis
Rhogeessa aenea
Rhogeessa bickhami
Rhogeessa genowaysi
Rhogeessa hussoni
Rhogeessa io
Rhogeessa menchuae
Rhogeessa minutilla
Rhogeessa mira
Rhogeessa parvula
Rhogeessa tumida
Rhogeessa velilla
Rhyneptesicus nasutus
Scoteanax rueppellii
Scotoecus albigula
Scotoecus albofuscus
Scotoecus hindei
Scotoecus hirundo
Scotoecus pallidus
Scotomanes ornatus
Scotophilus andrewreborii
Scotophilus borbonicus
Scotophilus celebensis
Scotophilus collinus
Scotophilus dinganii
Scotophilus ejetai
Scotophilus heathi
Scotophilus kuhlii
Scotophilus leucogaster
Scotophilus livingstonii
Scotophilus marovaza
Scotophilus nigrita
Scotophilus nucella
Scotophilus nux
Scotophilus robustus
Scotophilus tandrefana
Scotophilus trujilloi
Scotophilus viridis
Scotorepens balstoni
Scotorepens greyii
Scotorepens orion
Scotorepens sanborni
Scotozous dormeri
Thainycteris aureocollaris
Thainycteris torquatus
Tylonycteris pachypus
Tylonycteris robustula
Vansonia rueppellii
Vespadelus baverstocki
Vespadelus caurinus
Vespadelus darlingtoni
Vespadelus douglasorum
Vespadelus finlaysoni
Vespadelus pumilus
Vespadelus regulus
Vespadelus troughtoni
Vespadelus vulturnus
Vespertilio sinensis
Chilonatalus micropus
Chilonatalus tumidifrons
Natalus espiritosantensis
Natalus jamaicensis
Natalus major
Natalus mexicanus
Natalus primus
Natalus stramineus
Natalus tumidirostris
Nyctiellus lepidus
Cistugo lesueuri
Cistugo seabrai
Miniopterus aelleni
Miniopterus ambohitrensis
